task,method,classifier,primary_mean,primary_std,auc_mean,auc_std,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean
attention_state,bandpass,eegnet,0.49766666666666665,0.03061369468831123,0.7288526331018519,0.05285828781726804,0.49766666666666665,0.49766666666666665,0.5274821916125552,0.49766666666666665
attention_state,bandpass,lightgbm,0.5282500000000001,0.04611459156878176,0.7308181944444445,0.06948419710468157,0.52825,0.5282500000000001,0.5287616220978266,0.5282500000000001
attention_state,bandpass,logistic_regression,0.47865277777777776,0.031308220457411495,0.6743372337962963,0.027154231988053706,0.47865277777777776,0.47865277777777776,0.4978619361334955,0.47865277777777776
attention_state,bandpass,mlp,0.4769861111111111,0.036203623484329046,0.6840582204861111,0.04761904883992492,0.4769861111111111,0.4769861111111111,0.49016595967138893,0.4769861111111111
attention_state,bandpass,mobilenet,0.3957222222222222,0.07862791339869132,0.6073830135995371,0.11198932584899693,0.3957222222222222,0.3957222222222222,0.2860732473614028,0.3957222222222222
attention_state,bandpass,random_forest,0.5385555555555556,0.06502217095767704,0.7235452980324074,0.0649201855746026,0.5385555555555556,0.5385555555555556,0.5689906962471347,0.5385555555555556
attention_state,bandpass,svm,0.4768055555555556,0.030050369238297632,0.6697534635416666,0.02312621681928476,0.4768055555555556,0.4768055555555556,0.4927142747808132,0.4768055555555556
attention_state,bandpass,vit,0.5221527777777778,0.04958497701913003,0.7211350882523149,0.05821954874483866,0.5221527777777778,0.5221527777777778,0.5540642778094743,0.5221527777777778
attention_state,ic_unet,eegnet,0.5178888888888888,0.06373041335516155,0.7548084490740741,0.051205675357476825,0.517888888888889,0.5178888888888888,0.6027875948609652,0.5178888888888888
attention_state,ic_unet,lightgbm,0.5801388888888889,0.05944950653420509,0.7715453703703703,0.05999761378517589,0.5801388888888889,0.5801388888888889,0.5942349764294226,0.5801388888888889
attention_state,ic_unet,logistic_regression,0.53,0.04105274573154353,0.7209525853587962,0.038964804430669055,0.53,0.53,0.5351233000714118,0.53
attention_state,ic_unet,mlp,0.5607916666666666,0.04462463689031645,0.7498005685763889,0.04457959326260907,0.5607916666666666,0.5607916666666666,0.5748537901819997,0.5607916666666666
attention_state,ic_unet,mobilenet,0.3869444444444444,0.06258928807297205,0.5837597887731482,0.09012951358899149,0.3869444444444444,0.3869444444444444,0.30857860593066433,0.3869444444444444
attention_state,ic_unet,random_forest,0.5599444444444444,0.0796462375015176,0.7497300462962964,0.07773711329779015,0.5599444444444445,0.5599444444444444,0.5836878206049873,0.5599444444444444
attention_state,ic_unet,svm,0.5220833333333333,0.04207274344205214,0.7131792679398148,0.03782423401602783,0.5220833333333333,0.5220833333333333,0.5242047713302443,0.5220833333333333
attention_state,ic_unet,vit,0.5260416666666666,0.052174891745970155,0.7284217650462963,0.04946019012725236,0.5260416666666666,0.5260416666666666,0.5406181720823063,0.5260416666666666
attention_state,ica,eegnet,0.6412222222222221,0.08032874679545543,0.8169390393518519,0.06746225797707196,0.6412222222222221,0.6412222222222221,0.6608037545523751,0.6412222222222221
attention_state,ica,lightgbm,0.4865277777777777,0.03732593345975392,0.6937951504629629,0.04634107234295117,0.4865277777777777,0.4865277777777777,0.5093452156353085,0.4865277777777777
attention_state,ica,logistic_regression,0.45605555555555555,0.05077490570530601,0.635975982349537,0.0611051665041766,0.45605555555555555,0.45605555555555555,0.4581444661530133,0.45605555555555555
attention_state,ica,mlp,0.43594444444444447,0.04986160631137566,0.6357907074652778,0.05939020116012948,0.43594444444444436,0.43594444444444447,0.44050655450153264,0.43594444444444447
attention_state,ica,mobilenet,0.5460555555555555,0.05064427502287491,0.7622643258101852,0.051946043536025305,0.5460555555555555,0.5460555555555555,0.5982315558024286,0.5460555555555555
