task,method,classifier,repeat,seed,primary_name,primary,accuracy,balanced_accuracy,precision,recall,auc
attention_state,asr20,random_forest,10,1786428360,accuracy,0.45555555555555555,0.45555555555555555,0.45555555555555555,0.45689639467307935,0.45555555555555555,0.6513639322916667
attention_state,asr20,svm,1,2013945970,accuracy,0.36333333333333334,0.36333333333333334,0.3633333333333333,0.35773616373587225,0.3633333333333333,0.544400462962963
attention_state,asr20,svm,2,61155527,accuracy,0.47833333333333333,0.47833333333333333,0.47833333333333333,0.47539267901038956,0.47833333333333333,0.659731712962963
attention_state,asr20,svm,3,1072713694,accuracy,0.5011111111111111,0.5011111111111111,0.5011111111111112,0.5034524894348845,0.5011111111111112,0.7084907407407407
attention_state,asr20,svm,4,2111243235,accuracy,0.42986111111111114,0.42986111111111114,0.4298611111111111,0.44746373343114293,0.4298611111111111,0.5978273292824073
attention_state,asr20,svm,5,1626406676,accuracy,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.4255796538405234,0.43333333333333335,0.6135796440972222
attention_state,asr20,svm,6,126691620,accuracy,0.365,0.365,0.365,0.3597553199361621,0.365,0.5447016203703704
attention_state,asr20,svm,7,28155425,accuracy,0.4766666666666667,0.4766666666666667,0.4766666666666666,0.47372137666255315,0.4766666666666666,0.6599219907407408
attention_state,asr20,svm,8,149869551,accuracy,0.5027777777777778,0.5027777777777778,0.5027777777777778,0.5057272036006596,0.5027777777777778,0.7088340277777778
attention_state,asr20,svm,9,2044435244,accuracy,0.4284722222222222,0.4284722222222222,0.4284722222222222,0.4444873765948452,0.4284722222222222,0.5960130931712962
attention_state,asr20,svm,10,1786428360,accuracy,0.4284722222222222,0.4284722222222222,0.4284722222222222,0.4206221521451781,0.4284722222222222,0.6123234953703703
attention_state,asr20,vit,1,2013945970,accuracy,0.5744444444444444,0.5744444444444444,0.5744444444444444,0.5775251493176022,0.5744444444444444,0.7605611111111111
attention_state,asr20,vit,2,61155527,accuracy,0.6305555555555555,0.6305555555555555,0.6305555555555555,0.663795642481845,0.6305555555555555,0.8228768518518518
attention_state,asr20,vit,3,1072713694,accuracy,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.5424407844518572,0.49333333333333335,0.7056675925925925
attention_state,asr20,vit,4,2111243235,accuracy,0.7520833333333333,0.7520833333333333,0.7520833333333332,0.7508139364764684,0.7520833333333332,0.9081029369212964
attention_state,asr20,vit,5,1626406676,accuracy,0.6590277777777778,0.6590277777777778,0.6590277777777778,0.6960397004237597,0.6590277777777778,0.854539207175926
attention_state,asr20,vit,6,126691620,accuracy,0.5672222222222222,0.5672222222222222,0.5672222222222222,0.5850251198004565,0.5672222222222222,0.7512738425925926
attention_state,asr20,vit,7,28155425,accuracy,0.6066666666666667,0.6066666666666667,0.6066666666666666,0.5986653900480842,0.6066666666666666,0.8181842592592593
attention_state,asr20,vit,8,149869551,accuracy,0.5472222222222223,0.5472222222222223,0.5472222222222222,0.5611176253974012,0.5472222222222222,0.7469231481481481
attention_state,asr20,vit,9,2044435244,accuracy,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.702449648780938,0.7111111111111111,0.8796780960648148
attention_state,asr20,vit,10,1786428360,accuracy,0.71875,0.71875,0.71875,0.7286923224505973,0.71875,0.87580078125
attention_state,bandpass,eegnet,1,2013945970,accuracy,0.5022222222222222,0.5022222222222222,0.5022222222222222,0.5400309203780648,0.5022222222222222,0.6963462962962964
attention_state,bandpass,eegnet,2,61155527,accuracy,0.5611111111111111,0.5611111111111111,0.561111111111111,0.6368543258853042,0.561111111111111,0.7785648148148149
attention_state,bandpass,eegnet,3,1072713694,accuracy,0.5294444444444445,0.5294444444444445,0.5294444444444445,0.5264477860282208,0.5294444444444445,0.8016773148148149
attention_state,bandpass,eegnet,4,2111243235,accuracy,0.49722222222222223,0.49722222222222223,0.49722222222222223,0.5237020238447394,0.49722222222222223,0.6770695891203703
attention_state,bandpass,eegnet,5,1626406676,accuracy,0.4548611111111111,0.4548611111111111,0.45486111111111116,0.44699074074074074,0.45486111111111116,0.7074779369212963
attention_state,bandpass,eegnet,6,126691620,accuracy,0.48333333333333334,0.48333333333333334,0.4833333333333334,0.531415877081549,0.4833333333333334,0.6840851851851854
attention_state,bandpass,eegnet,7,28155425,accuracy,0.4722222222222222,0.4722222222222222,0.47222222222222215,0.531277580255198,0.47222222222222215,0.7569657407407407
attention_state,bandpass,eegnet,8,149869551,accuracy,0.5005555555555555,0.5005555555555555,0.5005555555555555,0.5383976868047685,0.5005555555555555,0.8086430555555554
attention_state,bandpass,eegnet,9,2044435244,accuracy,0.46111111111111114,0.46111111111111114,0.4611111111111111,0.5039220996193196,0.4611111111111111,0.6463715277777778
attention_state,bandpass,eegnet,10,1786428360,accuracy,0.5145833333333333,0.5145833333333333,0.5145833333333333,0.49578287548764627,0.5145833333333333,0.7313248697916667
attention_state,bandpass,lightgbm,1,2013945970,accuracy,0.5605555555555556,0.5605555555555556,0.5605555555555556,0.553412082888152,0.5605555555555556,0.743612962962963
attention_state,bandpass,lightgbm,2,61155527,accuracy,0.5572222222222222,0.5572222222222222,0.5572222222222223,0.5704153041105765,0.5572222222222223,0.8033601851851851
attention_state,bandpass,lightgbm,3,1072713694,accuracy,0.5366666666666666,0.5366666666666666,0.5366666666666667,0.5155830893999783,0.5366666666666667,0.7637671296296297
attention_state,bandpass,lightgbm,4,2111243235,accuracy,0.4375,0.4375,0.4375,0.4451588774455771,0.4375,0.598761574074074
attention_state,bandpass,lightgbm,5,1626406676,accuracy,0.5493055555555556,0.5493055555555556,0.5493055555555556,0.5592387566448495,0.5493055555555556,0.7445891203703704
attention_state,bandpass,lightgbm,6,126691620,accuracy,0.5605555555555556,0.5605555555555556,0.5605555555555556,0.553412082888152,0.5605555555555556,0.743612962962963
